What do you call the name of a class, method or variable in Java?;identifier;1;Data Structures and Algorithms
True | False, Strings of the primitive type in Java?;False;1;Data Structures and Algorithms
What do you call the primary actors in Java?;Objects;1;Data Structures and Algorithms
What are blocks of code that can be called to perform actions?;Methods;1;Data Structures and Algorithms
Which operator returns a reference to the newly created instance; the returned reference is typically assigned to a variable for further use?;new;1;Data Structures and Algorithms
What are the default values for reference variables?;null;1;Data Structures and Algorithms
Which modifiers control the level of access that the defining class grants to other classes in the context of a larger Java program?;Access Control Modifiers;1;Data Structures and Algorithms
Which class modifier designates that all classes may access the defined aspect?;Public;1;Data Structures and Algorithms
True | False, classes that are designated as subclasses of the given class cannot be accessed with the Protected class modifier.;False;1;Data Structures and Algorithms
Which modifier designates that access to a defined member of a class be granted only to code within that class?;Private;1;Data Structures and Algorithms
Which modifier is used to store global information about a class, as in its value is associated with the class as a whole, rather than with each individual instance of that class?;Static;1;Data Structures and Algorithms
Which modifier means that a method's or class's signature is provided but without an implementation of the method body?;Abstract;1;Data Structures and Algorithms
Which modifier can be initialized as part of that declaration, but can never again be assigned a new value?;Final;1;Data Structures and Algorithms
What defines the name and parameters for a method?;Signature;1;Data Structures and Algorithms
Which keyword must be used when a method does not return a value?;void;1;Data Structures and Algorithms
Are all objects passed by value or reference?;Value;1;Data Structures and Algorithms
Which passing value is it when Java makes a copy in memory of the parameter’s value, or a copy of the contents of the parameter?;Pass by Value;1;Data Structures and Algorithms
Which passing value is it when Java stores a copy of the address to the parameter rather than the value itself?;Pass by Reference;1;Data Structures and Algorithms
What is a special kind of method that is used to initialize a newly created instance of the class so that it will be in a consistent and stable initial state?;Constructor;1;Data Structures and Algorithms
True | False, constructors can be static, abstract or final.;False;1;Data Structures and Algorithms
True | False, constructors can be Protected or Private;True;1;Data Structures and Algorithms
When a class has multiple constructors, what must be different for each individual constructor?;Signature;1;Data Structures and Algorithms
True | False, you can use the keyword "this" in the body of a static method.;False;1;Data Structures and Algorithms
Which keyword refers to the object known as thing in the caller’s context?;This;1;Data Structures and Algorithms
What means that once an instance is created and initialized, the value of that instance cannot be changed?;Immutable;1;Data Structures and Algorithms
What is the process of implicitly converting between base types and their wrapper types?;Automatic Boxing and Unboxing;1;Data Structures and Algorithms
What is a special class representing static constants with the final keyword?;Enums;1;Data Structures and Algorithms
What involves the use of literals, variables, and operators?;Expressions;1;Data Structures and Algorithms
What is any constant value that can be used in an assignment or other expression?;Literals;1;Data Structures and Algorithms
What is an operation that allows us to change the type of a value?;Casting;1;Data Structures and Algorithms
Which loop allows the boolean condition to be checked at the end of each pass of the loop rather than before each pass?;Do-While;1;Data Structures and Algorithms
Which statement causes the execution to skip over the remaining steps of the current iteration of the loop body, but then, unlike the break statement, the flow of control returns to the top of the loop, assuming its condition remains satisfied?;Continue;1;Data Structures and Algorithms
What is the Object-Oriented design goal that is, capable of handling unexpected inputs that are not explicitly defined for its application?;Robustness;1;Data Structures and Algorithms
Because modern software applications are used for many years, what is the Object-Oriented design goal specifying that software needs to be able to evolve over time in response to changing conditions in its environment?;Adaptability;1;Data Structures and Algorithms
Which Object-Oriented design goal says the same code should be usable as a component of different systems in various applications?;Reusability;1;Data Structures and Algorithms
What do you call the notion of distilling a complicated system down to its most fundamental parts?;Abstraction;1;Data Structures and Algorithms
What is a mathematical model of a data structure that specifies the type of data stored, the operations supported on them, and the types of parameters of the operations?;Abstract Data Type;1;Data Structures and Algorithms
Which Object-Oriented principle says different components of a software system should not reveal the internal details of their respective implementations?;Encapsulation;1;Data Structures and Algorithms
Which Object-Oriented principle refers to an organizing principle in which different components of a software system are divided into separate functional units?;Modularity;1;Data Structures and Algorithms
In Object-Oriented programming, what do you call the mechanism for a modular and hierarchical organization?;Inheritance;1;Data Structures and Algorithms
True | False, a constructor for a subclass not making an explicit call to super or this as its first command will still have it called implicitly behind the scenes.;True;1;Data Structures and Algorithms
What refers to the ability of a reference variable to take different forms?;Polymorphism;1;Data Structures and Algorithms
What states that a variable (or parameter) with a declared type can be assigned an instance from any direct or indirect subclass of that type?;Liskov Substitution Principle;1;Data Structures and Algorithms
What is the name of the process deciding at runtime to call the version of the method that is most specific to the actual type of the referenced object (not the declared type)?;Dynamic Dispatch;1;Data Structures and Algorithms
What determines the next number by adding a fixed constant to the previous value?;Arithmetic Progression;1;Data Structures and Algorithms
What determines the next number by multiplying the previous value by a fixed constant?;Geometric Progression;1;Data Structures and Algorithms
What are collection of method declarations with no data and no bodies?;Interfaces;1;Data Structures and Algorithms
What is the ability of extending from more than one type?;Multiple Inheritance;1;Data Structures and Algorithms
True | False, multiple inheritance is allowed for both interfaces and classes.;False;1;Data Structures and Algorithms
Which keyword prepares users about the possibility of an exceptional case, so that they might be better prepared to handle an exception that may arise?;Throws;1;Data Structures and Algorithms
What are typically thrown only by the Java Virtual Machine and designate the most serious situations that are unlikely to be recoverable, such as when the virtual machine is asked to execute a corrupt class file, or when the system runs out of memory?;Errors;1;Data Structures and Algorithms
